Date,Open,High,Low,Close,Volume,gold_close,oil_close,vix,spy_close
2021-03-30,233.525,233.85,231.1,231.85,24792012.0,1683.9000244140625,60.54999923706055,19.610000610351562,368.67108154296875
2021-03-31,232.91,239.1,232.39,235.77,43614871.0,1713.800048828125,59.15999984741211,19.399999618530273,370.16546630859375
2021-04-01,238.47,242.84,238.0501,242.35,30337982.0,1726.5,61.45000076293945,17.329999923706055,374.16290283203125
2021-04-05,242.76,249.96,242.7,249.07,36890609.0,1727.0,58.650001525878906,17.90999984741211,379.53326416015625
2021-04-06,247.61,249.4,246.88,247.86,22816923.0,1741.5,59.33000183105469,18.1200008392334,379.3092346191406
2021-04-07,247.81,250.93,247.19,249.9,22713585.0,1740.0999755859375,59.77000045776367,17.15999984741211,379.7480773925781
2021-04-08,252.77,254.139,252.0,253.25,23625197.0,1756.800048828125,59.59999847412109,16.950000762939453,381.5506896972656
2021-04-09,252.87,255.99,252.44,255.85,24326833.0,1743.300048828125,59.31999969482422,16.690000534057617,384.32464599609375
2021-04-12,254.71,257.67,254.62,255.91,27148668.0,1731.199951171875,59.70000076293945,16.90999984741211,384.4647521972656
2021-04-13,257.2573,259.19,256.83,258.49,23837469.0,1746.199951171875,60.18000030517578,16.649999618530273,385.6041564941406
2021-04-14,257.475,258.83,255.16,255.59,23070938.0,1734.9000244140625,63.150001525878906,16.989999771118164,384.287353515625
2021-04-15,257.931,259.93,257.73,259.5,25627481.0,1765.4000244140625,63.459999084472656,16.56999969482422,388.41552734375
2021-04-16,259.47,261.0,257.6014,260.74,24878582.0,1779.0,63.130001068115234,16.25,389.71380615234375
2021-04-19,260.19,261.48,257.821,258.74,23209260.0,1769.4000244140625,63.380001068115234,17.290000915527344,387.799072265625
2021-04-20,257.82,260.2,256.84,258.26,19722875.0,1777.300048828125,62.43999862670898,18.68000030517578,384.95977783203125
2021-04-21,258.94,260.68,257.25,260.58,23990383.0,1792.300048828125,61.34999847412109,17.5,388.6022644042969
2021-04-22,260.21,261.78,255.64,257.17,25593777.0,1781.199951171875,61.43000030517578,18.709999084472656,385.0531005859375
2021-04-23,257.88,261.51,257.27,261.15,21499286.0,1777.0,62.13999938964844,17.329999923706055,389.22808837890625
2021-04-26,261.66,262.435,260.17,261.55,19763346.0,1779.199951171875,61.90999984741211,17.639999389648438,390.04058837890625
2021-04-27,261.585,263.19,260.12,261.97,30764213.0,1778.0,62.93999862670898,17.559999465942383,389.9565734863281
2021-04-28,256.078,256.5399,252.95,254.56,46903119.0,1773.199951171875,63.86000061035156,17.280000686645508,389.8445129394531
2021-04-29,255.46,256.1,249.0,252.51,40589023.0,1768.0999755859375,65.01000213623047,17.610000610351562,392.3288879394531
2021-04-30,249.74,253.08,249.6,252.18,30945098.0,1767.300048828125,63.58000183105469,18.610000610351562,389.7511291503906
2021-05-03,253.4,254.35,251.12,251.86,19426568.0,1791.4000244140625,64.48999786376953,18.309999465942383,390.5917053222656
2021-05-04,250.97,251.21,245.76,247.79,32756052.0,1775.800048828125,65.69000244140625,19.479999542236328,388.1820373535156
2021-05-05,249.06,249.5,245.82,246.47,21888125.0,1784.0999755859375,65.62999725341797,19.149999618530273,388.30340576171875
2021-05-06,246.45,249.86,244.69,249.73,26478085.0,1815.5,64.70999908447266,18.389999389648438,391.4042663574219
2021-05-07,252.15,254.3,251.17,252.46,27032912.0,1831.0999755859373,64.9000015258789,16.690000534057617,394.2528381347656
2021-05-10,250.87,251.73,247.12,247.18,29299890.0,1837.5,64.91999816894531,19.65999984741211,390.34881591796875
